JobID|User|Account|Partition|State|AllocCPUS|Elapsed|Start|End|NCPUS|NNodes|TotalCPU|UserCPU|SystemCPU|CPUTime
5858334|safae|msda-account|longq|RUNNING|3|6-01:00:37|2023-12-07T17:26:59|Unknown|3|1|00:00:00|||18-03:01:51
5858432|haitham.naciri|msda-account|longq|RUNNING|18|5-03:07:22|2023-12-08T15:20:14|Unknown|18|1|00:00:00|||92-08:12:36
5858569|slahbabi|msda-account|longq|TIMEOUT|30|3-00:00:02|2023-12-09T17:56:07|2023-12-12T17:56:09|30|1|3-02:38:12|2-02:58:10|23:40:02|90-00:01:00
5858569.batch||msda-account||CANCELLED|30|3-00:00:09|2023-12-09T17:56:07|2023-12-12T17:56:16|30|1|3-02:38:12|2-02:58:10|23:40:02|90-00:04:30
5858619|amine.andam|sccs-dna-account|gpu|TIMEOUT|1|2-00:00:10|2023-12-10T06:26:57|2023-12-12T06:27:07|1|1|1-23:51:09|1-10:03:32|13:47:36|2-00:00:10
5858619.batch||sccs-dna-account||CANCELLED|1|2-00:00:12|2023-12-10T06:26:57|2023-12-12T06:27:09|1|1|1-23:51:09|1-10:03:32|13:47:36|2-00:00:12
5858668|bernardin.ligan|ak-account|gpu|TIMEOUT|40|2-00:00:17|2023-12-10T18:00:52|2023-12-12T18:01:09|40|1|02:16.323|01:04.242|01:12.081|80-00:11:20
5858668.batch||ak-account||CANCELLED|40|2-00:00:19|2023-12-10T18:00:52|2023-12-12T18:01:11|40|1|02:16.323|01:04.242|01:12.081|80-00:12:40
5858675|slahbabi|msda-account|longq|RUNNING|30|2-22:28:20|2023-12-10T19:59:16|Unknown|30|1|00:00:00|||88-02:10:00
5858692|amine.andam|sccs-dna-account|gpu|TIMEOUT|1|2-00:00:27|2023-12-11T10:04:12|2023-12-13T10:04:39|1|1|1-23:51:28|1-09:56:34|13:54:53|2-00:00:27
5858692.batch||sccs-dna-account||CANCELLED|1|2-00:00:28|2023-12-11T10:04:12|2023-12-13T10:04:40|1|1|1-23:51:28|1-09:56:34|13:54:53|2-00:00:28
5858705|sboughou|msda-account|visu|TIMEOUT|1|1-00:00:13|2023-12-11T12:59:26|2023-12-12T12:59:39|1|1|11:16.055|09:12.017|02:04.037|1-00:00:13
5858705.batch||msda-account||CANCELLED|1|1-00:00:14|2023-12-11T12:59:26|2023-12-12T12:59:40|1|1|11:16.055|09:12.017|02:04.037|1-00:00:14
5858719|amine.andam|sccs-dna-account|gpu|CANCELLED by 1496|1|1-04:53:24|2023-12-11T17:05:21|2023-12-12T21:58:45|1|1|1-04:47:44|20:20:56|08:26:47|1-04:53:24
5858719.batch||sccs-dna-account||CANCELLED|1|1-04:53:25|2023-12-11T17:05:21|2023-12-12T21:58:46|1|1|1-04:47:44|20:20:56|08:26:47|1-04:53:25
5858727|olivier.djara|msda-account|gpu|TIMEOUT|40|2-00:00:07|2023-12-11T18:21:35|2023-12-13T18:21:42|40|1|29:34.399|28:00.313|01:34.085|80-00:04:40
5858727.batch||msda-account||CANCELLED|40|2-00:00:11|2023-12-11T18:21:35|2023-12-13T18:21:46|40|1|29:34.399|28:00.313|01:34.085|80-00:07:20
5858732|noureddine.toutlini|agbs-account|gpu|FAILED|5|1-10:17:26|2023-12-11T20:06:26|2023-12-13T06:23:52|5|1|1-10:12:22|1-10:03:17|09:04.902|7-03:27:10
